time_s,QT_HAZ_c,fusion_line_c,weld_center_c,Q235B_HAZ_c
0.0,150.0,154.59271102374106,154.59271102374106,149.96716047249646
0.5,149.99947532413597,245.9764500936436,245.9764500936436,149.74600023564372
1.0,149.99439133226232,319.1365729558918,319.1365729558918,149.615236291736
1.5,149.9805966682053,373.9040869986595,373.9040869986595,149.51571147876294
2.0,149.95650700682705,416.4255851912131,416.4255851912131,149.42863081913296
2.5,149.92252076540308,449.6548090871875,449.6548090871875,149.3467804314131
3.0,149.87994254937962,474.3712439460957,474.3712439460957,149.2670252252736
3.5,149.83027504418388,489.614601252834,489.614601252834,149.18793562356893
4.0,149.77490506227082,493.44536979182516,493.44536979182516,149.10887518706286
4.5,149.7150048865082,484.8382981499079,484.8382981499079,149.0295945577162
5.0,149.65152608423776,465.6976193672464,465.6976193672464,148.95003449178262
5.5,149.58522603891817,440.56023622839655,440.56023622839655,148.87022574399145
6.0,149.5167019549128,414.18578415867853,414.18578415867853,148.7902370362053
6.5,149.44642283899108,388.8833839111683,388.8833839111683,148.7101479822243
7.0,149.3747565794812,362.6262809530334,362.6262809530334,148.63003535851325
7.5,149.30199183344172,342.8164470244904,342.8164470244904,148.5499666445958
8.0,149.22835532686733,327.857317248456,327.857317248456,148.46999754472935
8.5,149.15402538509045,316.4625958641653,316.4625958641653,148.3901716624679
9.0,149.07914246829125,307.7763358917876,307.7763358917876,148.31052129137436
9.5,149.0038173667068,301.15267642273153,301.15267642273153,148.23106872819307
10.0,148.92813758082582,296.04476864323055,296.04476864323055,148.15182776958514
10.5,148.85217229765513,291.9518162892275,291.9518162892275,148.07280520316976
11.0,148.77597628087818,288.42304584720887,288.42304584720887,147.99400219261088
11.5,148.69959291934623,285.11197816984406,285.11197816984406,147.91541550955546
12.0,148.6230566216763,281.8247993539424,281.8247993539424,147.8370385965296
12.5,148.54639470136118,278.50676400457286,278.50676400457286,147.75886246284716
13.0,148.46962886370812,275.17424344785576,275.17424344785576,147.68087642528965
13.5,148.39277638068927,271.76395193580777,271.76395193580777,147.60306870995865
14.0,148.31585102049985,268.4161338537789,268.4161338537789,147.5254269332872
14.5,148.23886378383952,265.2269738604312,265.2269738604312,147.44793847998915
15.0,148.16182348756246,262.23774631896174,262.23774631896174,147.37059079453485
15.5,148.08473722756085,259.46833836051235,259.46833836051235,147.29337160106812
16.0,148.007610745939,256.9253449208421,256.9253449208421,147.21626906483215
16.5,147.93044872223874,254.6048144139879,254.6048144139879,147.1392719063373
17.0,147.85325500433683,252.4937590489697,252.4937590489697,147.06236947778464
17.5,147.77603279139157,250.57165783614985,250.57165783614985,146.98555180970172
18.0,147.69878477866553,248.812993808534,248.812993808534,146.90880963438144
18.5,147.6215132720383,247.19089104383445,247.19089104383445,146.83213439153062
19.0,147.54422027843367,245.68053795266357,245.68053795266357,146.7555182205286
19.5,147.4669075771255,244.26107848266366,244.26107848266366,146.67895394285156
20.0,147.38957677588638,242.91395001322857,242.91395001322857,146.60243503751093
20.5,147.3122293551489,241.62581508300735,241.62581508300735,146.52595561177316
21.0,147.23486670271774,240.3887149374237,240.3887149374237,146.44951036895085
21.5,147.15749014106697,239.1976330561749,239.1976330561749,146.37309457466378
22.0,147.08010094885714,238.0495448449645,238.0495448449645,146.29670402265504
22.5,147.00270037798492,236.9426391243696,236.9426391243696,146.22033500099374
23.0,146.92528966722514,235.8757080836091,235.8757080836091,146.1439842592924
23.5,146.84787005331776,234.84771615306678,234.84771615306678,146.06764897740769
24.0,146.77044278019184,233.85750817957492,233.85750817957492,145.9913267359707
24.5,146.69300910688648,232.90363583481326,232.90363583481326,145.9150154890015
25.0,146.6155703146307,231.98430364031256,231.98430364031256,145.83871353880056
25.5,146.53812771346819,231.09742336255349,231.09742336255349,145.7624195132697
26.0,146.46068264876223,230.24073556346107,230.24073556346107,145.68613234578672
26.5,146.38323650788047,229.41191117959426,229.41191117959426,145.6098512577349
27.0,146.30579072733718,228.60865838329983,228.60865838329983,145.53357574376136
27.5,146.2283468006523,227.8288608943049,227.8288608943049,145.45730555982084
28.0,146.15090628716789,227.07063962706175,227.07063962706175,145.38104071404396
28.5,146.073470822044,226.3323724816157,226.3323724816157,145.3047814604604
29.0,145.996042127634,225.61268214398535,225.61268214398535,145.22852829559588
29.5,145.918622026416,224.91040484353675,224.91040484353675,145.1522819579795
30.0,145.8412124556433,224.2245525701942,224.2245525701942,145.0760434306536
30.5,145.76381548388875,223.55427575642088,223.55427575642088,144.99981394690326
31.0,145.6864333297129,222.89882935563764,222.89882935563764,144.9235949996211
31.5,145.60906838280619,222.25754400683465,222.25754400683465,144.8473883549362
32.0,145.5317232281149,221.6298037776094,221.6298037776094,144.77119607083185
32.5,145.4544006736126,221.01503127789877,221.01503127789877,144.69502052134223
33.0,145.37710378244586,220.41267899816387,220.41267899816387,144.61886442661103
33.5,145.29983591012925,219.822224687811,219.822224687811,144.5427308888219
34.0,145.22260074731602,219.24317073690392,219.24317073690392,144.46662343395158
34.5,145.14540236847446,218.6750458071084,218.6750458071084,144.39054605924738
35.0,145.0682452865975,218.1174069000354,218.1174069000354,144.31450328622847
35.5,144.99113451393768,217.569840559684,217.569840559684,144.23850021938352
36.0,144.9140756288433,217.03196278529035,217.03196278529035,144.16254261175604
